               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082821,             0.39782,            0.069808,            0.021598,             0.10155,            0.013802,           0.0046716,            0.071662,             0.36834,            0.071421,             0.07822,             0.00022,             0.00022
                   1,             0.04724,             0.29118,            0.068498,            0.060853,             0.18388,             0.04035,             0.01429,            0.058501,             0.45325,            0.070147,            0.055446,          0.00044555,          0.00044555
                   2,            0.038031,             0.26844,            0.067554,            0.055639,             0.21351,            0.040855,             0.01413,            0.063187,             0.34526,            0.068352,            0.032667,          0.00066654,          0.00066654
                   3,            0.034568,             0.25756,            0.066541,             0.13016,             0.36187,             0.13433,            0.061166,            0.049691,             0.29899,            0.066031,            0.009883,          0.00088297,          0.00088297
                   4,            0.030661,             0.24317,            0.064894,             0.28872,             0.59603,             0.35166,             0.26313,            0.039752,              0.2899,            0.062698,           0.0009604,           0.0009604,           0.0009604
                   5,            0.028448,             0.23037,             0.06223,             0.66378,             0.52229,             0.45149,             0.29925,             0.03838,             0.25602,            0.059868,           0.0009604,           0.0009604,           0.0009604
                   6,            0.027697,             0.21412,             0.05947,             0.40605,             0.63439,             0.51625,               0.437,            0.032147,             0.23013,            0.056247,           0.0009505,           0.0009505,           0.0009505
                   7,            0.026301,             0.20839,            0.056519,             0.52523,              0.7263,             0.61248,             0.39523,            0.040727,             0.31518,            0.053829,           0.0009406,           0.0009406,           0.0009406
                   8,            0.027067,             0.21484,            0.054142,             0.59841,             0.76042,             0.69597,             0.51264,            0.026432,             0.18875,            0.050928,           0.0009307,           0.0009307,           0.0009307
                   9,            0.026586,             0.20139,            0.051016,             0.49969,             0.84264,             0.70537,             0.52447,            0.026306,             0.22192,            0.047825,           0.0009208,           0.0009208,           0.0009208
                  10,            0.023549,             0.20145,            0.046746,             0.75398,             0.80543,             0.82563,             0.60306,            0.023194,             0.18167,            0.042988,           0.0009109,           0.0009109,           0.0009109
                  11,            0.024784,             0.19658,            0.043634,             0.85774,             0.91788,             0.91483,             0.71106,            0.023352,             0.21733,            0.038765,            0.000901,            0.000901,            0.000901
